Job Sector,year_2023,passers_2023,examinees_2023,passing_rate_2023,year_2024,passers_2024,examinees_2024,passing_rate_2024
Accountancy,2023,2740,8734,31.37,2024,3058,10136,30.17
Agriculture,2023,3423,10014,34.18,2024,3628,7144,50.78
Architecture,2023,2924,4784,61.12,2024,2094,3370,62.14
Chemical Engineering,2023,651,927,70.23,2024,688,951,72.34
Chemistry,2023,594,1148,51.74,2024,592,1088,54.41
Civil Engineering,2023,6180,18582,33.26,2024,6835,18436,37.07
Criminology,2023,5743,17576,32.68,2024,11121,22539,49.34
Customs Brokers,2023,1579,2767,57.07,2024,1265,2871,44.06
Dentistry,2023,15,20,75.0,2024,873,1287,67.83
Dental Medicine,2023,732,1668,43.88,2024,873,1287,67.83
Electrical Engineering,2023,1218,3945,30.87,2024,1655,3058,54.12
Electronics Engineering,2023,842,2524,33.36,2024,999,2172,45.99
Environmental Planning,2023,115,166,69.28,2024,258,348,74.14
Fisheries Technology,2023,716,2124,33.71,2024,1005,1509,66.6
Food Technology,2023,453,1133,39.98,2024,510,995,51.26
Forestry,2023,1076,1947,55.26,2024,928,1574,58.96
Geodetic Engineering,2023,644,1377,46.77,2024,650,1343,48.4
Geology,2023,165,351,47.01,2024,236,349,67.62
Guidance and Counseling,2023,295,559,52.77,2024,316,539,58.63
Interior Design,2023,202,443,45.6,2024,119,400,29.75
Landscape Architecture,2023,64,112,57.14,2024,91,142,64.08
Library Science,2023,555,886,62.64,2024,376,771,48.77
Mechanical Engineering,2023,2133,4237,50.34,2024,1144,3485,32.83
Medical Technology,2023,3892,5401,72.06,2024,3872,5574,69.47
Medicine,2023,4083,6456,63.24,2024,3845,6600,58.26
Metallurgical Engineering,2023,39,64,60.94,2024,41,67,61.19
Midwifery,2023,2800,4119,67.98,2024,3997,5398,74.05
Mining Engineering,2023,242,351,68.95,2024,259,365,70.96
Naval Architecture and Marine Engineering,2023,28,87,32.18,2024,43,94,45.74
Nursing,2023,25761,32203,80.0,2024,29349,34534,84.99
Nutrition and Dietetics,2023,895,1219,73.42,2024,843,1209,69.73
Occupational Therapy,2023,323,554,58.3,2024,353,536,65.86
Optometry,2023,153,226,67.69,2024,297,327,90.83
Pharmacy,2023,1420,2275,62.42,2024,2905,3778,76.89
Physical Therapy,2023,1288,1884,68.37,2024,1206,1700,70.94
Professional Teachers,2023,77777,146562,53.07,2024,68900,129928,53.03
Psychology,2023,339,468,72.44,2024,373,448,83.26
Psychometrician,2023,6133,8370,73.27,2024,7478,10717,69.78
Radiologic Technology,2023,385,1237,31.12,2024,2450,4257,57.55
Real Estate Service,2023,581,1328,43.75,2024,1337,1758,76.05
Respiratory Therapy,2023,955,1345,71.0,2024,1077,1383,77.87
Sanitary Engineering,2023,76,162,46.91,2024,105,156,67.31
Social Work,2023,3878,6833,56.75,2024,4587,7113,64.49
Veterinary Medicine,2023,92,985,9.34,2024,633,1349,46.92
Aeronautical Engineering,2023,418,971,43.05,2024,579,1070,54.11
Agricultural Engineering,2023,615,1841,33.41,2024,1479,2625,56.34
